sentimen,Tweet
1.0,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p
1.0,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu
1.0,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya
1.0,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla
1.0,aah kamu aja mas aku lebih suka diayomi
1.0,mau bantu aku nabung
1.0,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya
1.0,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha
1.0,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba
1.0,yuk netweetjen dibantu
1.0,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka
1.0,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo
1.0,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka
1.0,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat
1.0,diremes di enyot ngedusel dusel di nenen kamu wah mantap
1.0,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e
1.0,pilih salah satu yang paling kamu nyaman
1.0,aku sendiri jugaaa yuk barengan
1.0,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j
1.0,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego
1.0,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal
1.0,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak
1.0,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm
1.0,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku
1.0,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau
1.0,aku nk walk in ajelah senang
1.0,jadilah seperti aku
1.0,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat
1.0,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb
1.0,hahaa aku juga ga ngerti tadi tp asal jwb aja
1.0,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men
1.0,aku terhibur hahahahahahahahahahahaha
1.0,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber
1.0,iya lucu emang dia aku temenan di ig
1.0,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki
1.0,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov
1.0,kak mau jugaa
1.0,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew
1.0,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit
1.0,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar
1.0,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt
1.0,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun
1.0,buat dong aku kan juga istrinya daniel
1.0,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit
1.0,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa
1.0,tolong la harini je dah banyak sangat ketawa krem perut aku yall
1.0,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml
1.0,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo
1.0,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb
1.0,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah
1.0,segitu kangennya ya mba sama aku
1.0,hidup ini adalah pilihan yang harus kamu pilih
1.0,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah
1.0,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku
1.0,i liked a video aku tanya pak jokowi pakai bahasa jawa
1.0,okaay nggapapaa aku minta doyoung ajaa makasih yaa
1.0,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat
1.0,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang
1.0,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh
1.0,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca
1.0,jika aku jadi ratumu maka pasti kau rajanya ya kan
1.0,aku penggemar mie burung dara enaknya nyambung terus
1.0,ni kalau suami aku panggil sayang macam ni we're gonna make babies right after
1.0,be strong bro
1.0,di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d
1.0,cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu
1.0,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani
1.0,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n
1.0,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f
1.0,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak
1.0,stay beside you was my job hehee sayang kamu
1.0,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu
1.0,fams sama aku yuk
1.0,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan
1.0,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya
1.0,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti
1.0,gilaaa beliin aku dong kak
1.0,kalau kamu mau dihormati harus mau menghormati
1.0,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini
1.0,bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos
1.0,aku ikut habib lutfi aja rois aam jam'iyyah ahlith thariqah al mu'tabarah an nahdliyyah yg meminta menurunkan bendera yg k
1.0,omg kamu harus melihat ini bigolive
1.0,jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang
1.0,saat ditanya aku hanya diam dan mengangguk kutahu bahwa dia orang yang baik
1.0,aku pake himalaya neem mask juga gini kok bagus emg matull banget
1.0,selalu buat macam ni setiap kali nampak peti ais kat dapur haha
1.0,idola aku banget itu mba
1.0,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b
1.0,hahahaha pastu buat2 terkejut eh dah sampai aku tumbokk muka kau kang
1.0,karena presentasi hari ini lancar aku mau bikin ga album only wanna ver one ver aja no need to follow tapi
1.0,shopee kamu apaa mau dong
1.0,laksanakan segala apa yang diwajibkan allah niscaya kamu menjadi orang yang paling bertakwa hr ath thabrani
1.0,aku cinta segala promo grabfood karena bisa makan burger mcd seharga ayam geprek
1.0,aku mungkin luaran nampak happy go lucky sentiasa tersenyum dgn orang sekeliling friendly gelak ketawa sampai berdekah a
1.0,aku cinta w1
1.0,done watching dilan 1990 2018 dari start movie sampai habis aku senyum sorang nasib baik tengok sengsorang kalau ram
1.0,aku mau
1.0,doa untuk ibu dan bapa ya allah ampunila
1.0,tampil sndiri atasi diri hadapi audiens lakuin perlihatkan ssuatu 'skill mu sampai tuntas buat smua kagum p
1.0,ciri lelaki idaman aku um kena sama macam ayah aku
2.0,"Gua dah kabor nak bagi gua specific task jangan masuk campur, bajingan'"
2.0,gua emang menel\ngua emang suka modus sana sini\ngua emang brengsek\ngua emang bukan anak baik-baik\n\ntapi \n\nsekali gua sayang tolong jgn anggap itu semua palsu\nsekali gua serius tolong jgn permainin hati gua'
2.0,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 1 karakter utama cowonya kena friendzone bray! XD URL
2.0,gue emang bego sayang sama orang yang jelas-jelas ga sayang dan ga pernah mikirin perasaan gue sedikitpun'
2.0,Gue gamau nyindir tapi jadi kesannya jadi nyindir hadeeehhh bego wkwk'
2.0,"Gue ingin memberikan opini gue tentang marah-marah. Jadi begini, menurut gue saat kita marah itu kita hanya menunjukkan keegoisan kita. Kok bisa?! Karena saat marah itu, kita pengennya didengar, mengabaikan pendapat orang lain, kayak bodo amat woi yang penting u pd dengerin w?!'"
2.0,gue kenapa sih anjir kajus ngetweet tony aja mata gue berkaca-kaca'
2.0,Gue mau retweet video nya tapi sedih dan kasihan... ntar yang ada malah semakin viral dan takut akan lebih banyak org1 idiot yg ngebully mas1 si korban bully dr tmn sesama mahasiswa nya itu yg katanya dr UI. Yg ternama bgt itu. #PrayforMahasiswaUI'
2.0,Gue trkdg bingung ma yg nntn di bioskop. Udh cape1 ngantri &amp
2.0,Gw ngebacanya bajingan coba'
2.0,gw suka kontol lo beb :*'
2.0,"halah sok nanyain sedih kenapa\n\npalingan respon lau ""kobisa gitu?"" \n\nBODO AH. AKU CAPEQ JAWABNYA KAK \xf0\x9f\x98\xad'"
2.0,Hanya butuh laki setia bukan laki bajingan \xf0\x9f\x90\xbf\xf0\x9f\x90\xbf'
2.0,Harini off day. Aku tidur bangun tidur sahaja hahahahaha bajingan bukan'
2.0,"HEY PRIA..\njanganlah jadi Bencong ideologi !\nKiara Artha Proyek RRC , di dampingi lansung oleh wakil PM RRC\ndi kasi izin nya..\nsementara ada mantan atlit sampe sakit keras harus hidup di tenda..\nkorban kebijakan radikal ridwan kamil..\n\njd kau itu jgn kaya bencong , bicara Ekonomi URL"
2.0,"Hidup ini kadang di atas dan kadang di bawah. kadang ayam nginjak tai kita, kadang kita nginjak tai ayam.'"
2.0,Hidup kena kerja keras jangan harap kena suap bajingan'
2.0,"Hidup ya gitu, biasanya kita dipertemukan dengan manusia yang brengsek dulu biar bisa ngehargain orang yang lebih baik nantinya.'"
2.0,Hooo keliatan mana yg bego sekarang hahaha'
2.0,Hshshshjsjs aiman bodo. Selfie dgn spanar \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81'
2.0,URL &lt
2.0,hue mimpi gua buta asw amit1'
2.0,hyunjin sinting emang ganteng bener'
2.0,ini emot apaan kunyuk URL
2.0,Ini gue budek beneran gara gara kebanyakan pake hetset apa gara gara flu'
2.0,Ini ibukota jakarta byar pet terus.... Woooui kunyuk listrik naek terus mutu ambrol terus'
2.0,Ini mirip banget sama kelakuan mantan yg brengsek! Seolah-olah kelakuannya yg jahat bisa dilupain gitu aja. Jokowi dan mantan nggak tau rasanya khianati! #menolakluka URL
2.0,Ini screenshot udh agak lama tapi lupa mau kuposting \xf0\x9f\x98\xa5ada yg ketawa ga? Sirinya agak budek dengernya bunggus \xf0\x9f\x98\xb0 URL
2.0,"Inilah pentingnya pdkt, karena yg fisiknya oke pun ternyata kalo diajak ngobrol lebih asik haji bolot.'"
2.0,ios asw napada ]]'
2.0,"Itu adalah ungkapan sayang, seperti kata #sinting punya URL"
2.0,"Itu lohhh yg dilakuin oppa oppa koriya, tapi banyak yg bilang oppa koriya banci tapi masa banci ikut militeran 1 tahun :) URL"
2.0,"itu pas gue baru aja ditampol si edi eh tyo, jd bibir gue menyon. barbar emang tuh si kunyuk\n\n- chandra URL"
2.0,iya yah anjir pengen nabung tp yg:/ ditabung:/ gaada:/'
2.0,"Jadi ceritanya lagi di Bali. Kenalan sama cewe , nanya nanya segala macem sampe akhirnya nanya kuliah. Ternyata dia kuliahnya di IKJ, eh fakultasnya FFTV, eh ternyata kating aing juga. Goblog dunia semakin little.'"
2.0,Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !'
2.0,"jadi inget pernah nonton film piramid1 gitu rame1, serem. yang lain teriak, gue sama temen gue ketawa1. sudah sinting'"
2.0,Jadi penasaran proses dia menulis. Teknik dia menulis itu seperti apa. Kenapa dia bisa begitu mudahnya bikin narasi-deskripsi yang bajingan. Metode dia riset itu yang bagaimana. Duh weslah pokoknya.'
2.0,"Jadi pusing sendiri kan gua, asw'"
2.0,"Jalan-Jalan ke Kota Sumedang..,\nAda Kambing Makan Rumput..,\nAnak-anak pada Senang ..,\nMelihat banci Bergoyang Dangdut..'"
2.0,"jam segini sudah ganti baju gembel rumahan, tandanya sudah tida ingin kemana-mana lagi'"
2.0,"jan di biasain nganggep cewe ntu kek barang bos, karna cewe ntu punya ati n prasaan. situ kalo cuman nyari bahan bakal ngeue mending lu cari pecun sono, bs lu eue trs bayar, trs udeh deh masing1. jan cewe bae1 lu rusakin, di lobi sbisa lu ampe dpt ngeue, hanjer sampah amat'"
2.0,jangan biarkan orang idiot merusak moodmu'
2.0,Jangan nonton atau dengar lagu banci URL cc USER'
2.0,"jangan rindu, rindu itu berat..\n\nbiarin ae si kunyuk dilan yang nanggung.'"
2.0,"Jawapos: Saat Paul Pogba Selebrasi Gol, Terdengar Tiruan Suara Monyet URL"
2.0,"jdi gni skrg intinya ORANG KAYA DAN ELIT GAK MENJAMIN TANGAN DAN MULUT BERPENDIDIKAN JG !MENDINGAN GUE YG KATANYA UDIK,KAMPUNGAN,SAMPAH TP MSH PNYA OTAK BUAT MIKIR !'"
2.0,"Jgn ada yg percaya dgn akun ini\n\n\xe1\x9e\xa0 \n\xe1\x9e\xa0 WA 080280402774\n\nAwal nya dia ga percaya sy buat\nCAMSEX, trus sy buktikan Vc beberapa detik, pas suruh Tf alesan nya neko1\n\n\xe1\xac\x87Ni muka nya kaya monyet \xe1\xac\x87 URL"
2.0,"Jika kalian semua kesepian, kamu akan belajar betapa hangat nya memiliki teman-teman."" -Fairy Tai'"
2.0,"Jika member iKON membandingkan B.I dengan seekor binatang, maka B.I adalah monyet. Dia juga mirip karena pintar'"
2.0,Jilatin memek aku donk mau ?'
2.0,"Joget dekat Raffi Ahmad, Ayu Ting Ting dibilang norak dan kampungan sama Nagita Slavina! Waduh, begini kronologinya: URL URL"
2.0,"Jujur gw sulit lupain lo , disaat gw sibuk lupain lo , lo malah keliatan biasa aja , bangke ngga sih lo'"
2.0,Kaget anjir tbtb ada kucing masuk kamar asw'
2.0,Kairoseki adalah alat yang dapat membatalkan kemampuan pengguna Buah Iblis dan melemahkan mereka'
2.0,Kajox ga on si kunyuk deact si tete ilang entah kemane -_- abis dah bestie cowo yg gua punya'
2.0,Kalau legislatif gagal. Kok diambil calon wakilnya. Yang bego ini siapa? kira-kira???'
2.0,"kalau pak JKW diam dan merasa gak terusik bisa apa? bisa jadi peristiwa itu ada,salahnya si kunyuk\nArseto bawa nama pak JKW skrg kaya! dulu sblm jadi RI0 pelaporan 17M,setelah jadi RI0,setiap bln gak ada pengeluaran,gaji ditabung ,pasti kaya lah! URL"
2.0,Kalau udah uts analisa struktur temen-temen berubah jadi budek dan pura-pura bolot.'
2.0,"kalo di catatan harian menantu sinting, lakban = laki banget, sementara itu lakban menurut definisi df \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 URL"
2.0,"kalo di transformer biasanya mobil berubah jd robot, kalo unbk biasanya orang pinter berubah jd haji bolot.'"
2.0,"Kalo ingat kata"" ini lucu hhhaa --&gt"
2.0,"Kalo jodoh ditangan tuhan, mungkin mantan kita sekarang sedang ditangan setan -_,-'"
2.0,"Kampret itu disaat lo bener1 udh bisa jauh dr dia, udh 80% moveon, udh bisa lupain semua tentang dia eh...... Tiba1 dia nge chat/sms LAGI.'"
2.0,Kampret lupa ngambil laundry\n\nHhhhhhhhhhhhhhhhh'
2.0,KAMPRET MARKSON GUE SAMPE GARUK1 KASUR URL
2.0,Kampret merah tuh apa?.-. URL
2.0,Kampret revisi hahaa URL
2.0,Kampret. Datang pas butuh aja. Ngerusak mood sumpah.'
2.0,Kampret\n\nKemaren cepet1an beli sekarang dijual online \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4 URL
2.0,Kampungan sekali pada ga tau Crispy Rendang. Kalo lu kebetulan dapet Lengkoas. Itu lah Crispy Rendang.'
2.0,KAMSEUPAY = KAMpungan SEkali Udik PAYah'
2.0,Kangen smasa. Bajingan :('
2.0,Karakter kartun yang mendeskripsikan karakter Luhan adalah \xe1\x80\x9cRaja Monyet diDragon Ball\xe1\x80\x9d karena mereka berdua memiliki rasa keadilan XD'
2.0,"Karena kebiasaan pake earphone ke mana-mana dan suka budek kalo ada yang nanya, tadi tiba-tiba ada bapak-bapak nanya dan aku gak denger dia nanya apa, tanganku refleks megang kuping, padahal lagi gak pake earphone :""( kumalu 1 detik\xf0\x9f\x98\xad\xf0\x9f\xa4\xa7'"
2.0,"Karna kondisi udah malem gw udah letih. Kalo capek mood juga gak keruan kan. Gw jadi merasa tertantang. Abangnya udah mayan jauh, mana kondisi jalan padet banyak mobil dan motor, tp entah setan mana yg bikin gw emosi, gw pun ngebut slusap slusup.'"
2.0,"Kata cewek ""Semua Lelaki itu brengsek"" Nah guys kalo lo brengsek berbanggalah, Brarti lo laki'"
2.0,"Kata cewek ""Semua Lelaki itu\nbrengsek"" Nah guys kalo lo brengsek\nberbanggalah, Brarti lo laki.'"
2.0,"Kata mama ""orang sombong itu temenya SETAN"" jadi jangan salahin gue, kalo gue gak mau temenan sama orang sombong kek lo!!'"
2.0,"Kata orang jawa, moto picrk kuping budek, rai gedek pada masalah yg dihadapi rakyat.\n\nKalian ingin populer dg cara hina URL"
2.0,"Kata si burung, tahun 1020 Indonesia bubar. Kata si Kerbau, tahun 1020 Indonesia kuat. Mana yang bener?\n\nApakah kita harus tanya pada monyet? Gimana nasib negeri kita nyet? :D\n\n#wkkkkwkk\n#tongseriusteuingah\n#rieuttt'"
2.0,Katanya sahabat tapi dibelakang kayak tai'
2.0,"Kebanyakan cowok galau karna , saat malam terbangun karena mimpi basah, tapi mimpi basahnya karena di enaenain sama banci'"
2.0,"Kebayang sepotong adegan dimana dia kesal karena isi laporan kacau kayak gak di edit.\n\n""Perlu gue kata-katain atau gue bajak gebetannya biar si kunyuk tahu diri?"" URL"
2.0,"Kecuali manusia dan monyet, semua mamalia buta warna #dfact'"
2.0,"Kecuali manusia dan monyet, semua mamalia buta warna.'"
2.0,Kenali aku lebih dalam. Maka kamu akan mengerti bahwa seorang bajingan sepertiku masih punya hati dan perasaan!'
2.0,Kenapa berkata asu dibilang mengumpat dan kasar? Bukannya asu salah satu hewan piaraan yg lucu dan ngemesin? Nek ra iso eek we ws tak pelihara'
2.0,kenapa gua selalu suka dengan anime1 yg ceritanya selalu ada perjanjian dg iblis nya? #DeathNote #TokyoGhoul #NanatsuNoTaizai #BlackButtler #Overlord #Noragami'
2.0,"Kenapa ya orang Indonesia ini disuruh tertib susah banget? Salah satu contohnya adalah tertib untuk tidak naik ke KRL sebelum penumpang yang mau turun selesai semua. Saking seringnya nemu orang-orang brengsek kayak gitu di stasiun, saya sampai kepikiran untuk nyiapin kata makian.'"
2.0,kenapaa oh kenapaa diriku brengsek'
2.0,"keren, ksatria, jantan, berani, patuh pada hukum, bukan banci yg kabur saat disapa polisi \xf0\x9f\x98\x8e URL"
2.0,kerja kelompok sambil ngentot URL #bokep #ngentot #memek #bugil #bispak'
2.0,kesel tai army kepalanya gede1 bener URL
2.0,"Ketemu klien, orang batak, dia ngegas gua ikut ngegas. Brengsek. Malu1in kantor.'"
2.0,Ketiduran 00 menit dan punya dorongan tidak wajar untuk cover lagu. Sinting'
2.0,"Kintamani adlh anjing ras Indonesia yg diakui PERKIN, tapi blm diakui F\xc2\xa9d\xc2\xa9ration Cynologique Internationale (FCI) sbg anjing ras dunia.'"
2.0,"Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian. -2 Idiot'"
2.0,Kita-kita biasa aja dengan pernyataan yang ada. Ga ngerasa bangke.'
2.0,"Kl aku tdk taat pd Tuhan, malam kemarin kamu udah aku kata1in pengecut, perek, pelacur, wanita tidak tahu diri, wanita rendah... aku kata1in di depan suamimu dan aku tidak takut pd suamimu. Mas kamu bilang dirimu pernah bajingan, masa laluku lebih gelap dan lebih bajingan dr kamu'"
